Year,Institution_raw,doctorate_by_research,masters_by_research,hdr_completions,hdr_has_suppressed_np,total_completions,source,HEP_Code,Institution_canonical,rbg_total,rbg_rtp,rbg_rsp_like,rbg_total_covid_adj
2017,The University of Adelaide,365.0,,365.0,True,6937.0,legacy_xls_table8,3010,The University of Adelaide,89195340,46569225.0,42626115.0,89195340.0
2017,Torrens University Australia,0.0,0.0,0.0,False,929.0,legacy_xls_table8,4449,Torrens University Australia,50442,38872.0,11570.0,50442.0
2017,University of South Australia,195.0,15.0,210.0,False,7378.0,legacy_xls_table8,3027,University of South Australia,35694872,19846932.0,15847940.0,35694872.0
2017,University of Tasmania,215.0,,215.0,True,7945.0,legacy_xls_table8,3045,University of Tasmania,46477084,24257491.0,22219593.0,46477084.0
2017,Batchelor Institute of Indigenous Tertiary Education,2.0,0.0,2.0,False,2.0,legacy_xls_table8,2246,Batchelor Institute of Indigenous Tertiary Education,329589,185163.0,144426.0,329589.0
2017,Charles Darwin University,27.0,,27.0,True,1658.0,legacy_xls_table8,3001,Charles Darwin University,16196990,6968693.0,9228297.0,16196990.0
2017,The Australian National University,434.0,40.0,474.0,False,6835.0,legacy_xls_table8,3033,The Australian National University,115546110,55887941.0,59658169.0,115546110.0
2017,University of Canberra,60.0,,60.0,True,3956.0,legacy_xls_table8,2241,University of Canberra,9292422,5145247.0,4147175.0,9292422.0
2017,Australian Catholic University,39.0,7.0,46.0,False,5815.0,legacy_xls_table8,3006,Australian Catholic University,7083808,3540319.0,3543489.0,7083808.0
2018,Charles Sturt University,77.0,2.0,79.0,False,9534.0,legacy_xls_table8,3005,Charles Sturt University,9977098,6378816.0,3598282.0,9977098.0
2018,Macquarie University,288.0,268.0,556.0,False,10066.0,legacy_xls_table8,3025,Macquarie University,43897312,27882585.0,16014727.0,43897312.0
2018,Southern Cross University,38.0,8.0,46.0,False,3078.0,legacy_xls_table8,3038,Southern Cross University,7517808,4356094.0,3161714.0,7517808.0
2018,The University of New England,76.0,,76.0,True,3630.0,legacy_xls_table8,3039,University of New England,16344368,9072274.0,7272094.0,16344368.0
2018,The University of Newcastle,253.0,13.0,266.0,False,6467.0,legacy_xls_table8,3014,University of Newcastle,46241121,24081639.0,22159482.0,46241121.0
2018,The University of Sydney,315.0,88.0,403.0,False,16549.0,legacy_xls_table8,3040,The University of Sydney,185555796,97508015.0,88047781.0,185555796.0
2018,University of New South Wales,663.0,97.0,760.0,False,15244.0,legacy_xls_table8,3013,University of New South Wales,169425334,89661819.0,79763515.0,169425334.0
2018,University of Technology Sydney,251.0,35.0,286.0,False,11337.0,legacy_xls_table8,3016,University of Technology Sydney,29577152,17081143.0,12496009.0,29577152.0
2018,University of Wollongong,239.0,52.0,291.0,False,7695.0,legacy_xls_table8,1058,University of Wollongong,36485039,22740798.0,13744241.0,36485039.0
2018,Western Sydney University,142.0,73.0,215.0,False,9001.0,legacy_xls_table8,3004,Western Sydney University,18351729,10865765.0,7485964.0,18351729.0
2018,Deakin University,193.0,,193.0,True,11973.0,legacy_xls_table8,3030,Deakin University,31298257,19598296.0,11699961.0,31298257.0
2018,Federation University Australia(a),35.0,9.0,44.0,False,2785.0,legacy_xls_table8,2154,Federation University Australia,3749191,2169677.0,1579514.0,3749191.0
2018,La Trobe University,219.0,,219.0,True,9087.0,legacy_xls_table8,3020,La Trobe University,33442256,18381832.0,15060424.0,33442256.0
2018,Monash University,805.0,77.0,882.0,False,21862.0,legacy_xls_table8,3035,Monash University,170346130,87173023.0,83173107.0,170346130.0
2018,RMIT University,260.0,36.0,296.0,False,18737.0,legacy_xls_table8,3034,Royal Melbourne Institute of Technology,34204805,21264947.0,12939858.0,34204805.0
2018,Swinburne University of Technology,161.0,26.0,187.0,False,7465.0,legacy_xls_table8,2177,Swinburne University of Technology,18053570,11474972.0,6578598.0,18053570.0
2018,The University of Melbourne,872.0,147.0,1019.0,False,21388.0,legacy_xls_table8,3036,The University of Melbourne,197305438,98127748.0,99177690.0,197305438.0
2018,University of Divinity,,2.0,2.0,True,532.0,legacy_xls_table8,4331,University of Divinity,1575419,909458.0,665961.0,1575419.0
2018,Victoria University,91.0,,91.0,True,6676.0,legacy_xls_table8,3007,Victoria University,11724598,7478587.0,4246011.0,11724598.0
2018,Bond University,,2.0,2.0,True,1728.0,legacy_xls_table8,3003,Bond University ,3794841,1892995.0,1901846.0,3794841.0
