HEP_Code,Institution_raw,Year,Cohort,doctorate_by_research,masters_by_research,hdr_completions,hdr_has_suppressed_lt5,Institution_canonical,total_completions,rbg_total,rbg_rtp,rbg_rsp_like,rbg_total_covid_adj
3042,Queensland University of Technology,2007,non-aligned,179.0,60.0,239.0,False,Queensland University of Technology,,23562694,0.0,2939693.0,23562694.0
3034,Royal Melbourne Institute of Technology,2007,ATN,173.0,88.0,261.0,False,Royal Melbourne Institute of Technology,,23967820,0.0,1736373.0,23967820.0
3038,Southern Cross University,2007,RUN,54.0,2.0,56.0,True,Southern Cross University,,6261580,0.0,398737.0,6261580.0
2177,Swinburne University of Technology,2007,non-aligned,66.0,7.0,73.0,False,Swinburne University of Technology,,10506948,0.0,1190490.0,10506948.0
3033,The Australian National University,2007,Go8,288.0,14.0,302.0,False,The Australian National University,,71721436,0.0,18073910.0,71721436.0
3010,The University of Adelaide,2007,Go8,241.0,29.0,270.0,False,The University of Adelaide,,64635639,0.0,13819697.0,64635639.0
3036,The University of Melbourne,2007,Go8,537.0,195.0,732.0,False,The University of Melbourne,,138504670,0.0,25779668.0,138504670.0
3044,The University of Notre Dame Australia,2007,non-aligned,2.0,2.0,4.0,True,The University of Notre Dame Australia,,527922,0.0,327.0,527922.0
3019,The University of Queensland,2007,Go8,452.0,64.0,516.0,False,The University of Queensland,,114797207,0.0,20897560.0,114797207.0
3040,The University of Sydney,2007,Go8,490.0,135.0,625.0,False,The University of Sydney,,122951313,0.0,23941310.0,122951313.0
1055,The University of Western Australia,2007,Go8,267.0,67.0,334.0,False,The University of Western Australia,,68190042,0.0,14610189.0,68190042.0
2241,University of Canberra,2007,IRU,42.0,12.0,54.0,False,University of Canberra,,5464633,0.0,490459.0,5464633.0
4331,University of Divinity,2007,non-aligned,2.0,6.0,8.0,True,University of Divinity,,1025078,0.0,0.0,1025078.0
3039,University of New England,2007,RUN,107.0,29.0,136.0,False,University of New England,,15249847,0.0,1766527.0,15249847.0
3013,University of New South Wales,2007,Go8,496.0,150.0,646.0,False,University of New South Wales,,93229732,0.0,17212183.0,93229732.0
3014,University of Newcastle,2007,ATN,108.0,33.0,141.0,False,University of Newcastle,,29541320,0.0,5322959.0,29541320.0
3027,University of South Australia,2007,ATN,128.0,14.0,142.0,False,University of South Australia,,18339044,0.0,1869714.0,18339044.0
2201,University of Southern Queensland,2007,RUN,32.0,11.0,43.0,False,University of Southern Queensland,,4109431,0.0,414917.0,4109431.0
3045,University of Tasmania,2007,non-aligned,100.0,32.0,132.0,False,University of Tasmania,,31487421,0.0,5815171.0,31487421.0
3016,University of Technology Sydney,2007,ATN,121.0,40.0,161.0,False,University of Technology Sydney,,18659736,0.0,2672422.0,18659736.0
3043,University of the Sunshine Coast,2007,RUN,5.0,6.0,11.0,False,University of the Sunshine Coast,,1070296,0.0,50629.0,1070296.0
1058,University of Wollongong,2007,non-aligned,110.0,51.0,161.0,False,University of Wollongong,,24513746,0.0,3673652.0,24513746.0
3007,Victoria University,2007,non-aligned,55.0,8.0,63.0,False,Victoria University,,9093633,0.0,744647.0,9093633.0
3004,Western Sydney University,2007,IRU,114.0,19.0,133.0,False,Western Sydney University,,13989251,0.0,1256663.0,13989251.0
3006,Australian Catholic University,2006,non-aligned,37.0,10.0,47.0,False,Australian Catholic University,,2304011,0.0,166914.0,2304011.0
3003,Bond University ,2006,non-aligned,9.0,2.0,11.0,True,Bond University ,,480107,0.0,17171.0,480107.0
2200,Central Queensland University,2006,RUN,19.0,5.0,24.0,False,Central Queensland University,,4609398,0.0,243545.0,4609398.0
3001,Charles Darwin University,2006,non-aligned,11.0,2.0,13.0,True,Charles Darwin University,,5306263,0.0,1045099.0,5306263.0
3005,Charles Sturt University,2006,RUN,26.0,9.0,35.0,False,Charles Sturt University,,6363501,0.0,947725.0,6363501.0
2236,Curtin University,2006,ATN,138.0,42.0,180.0,False,Curtin University,,22901652,0.0,2021009.0,22901652.0
3030,Deakin University,2006,ATN,100.0,18.0,118.0,False,Deakin University,,17395800,0.0,2294488.0,17395800.0
2235,Edith Cowan University,2006,non-aligned,61.0,29.0,90.0,False,Edith Cowan University,,7491190,0.0,545259.0,7491190.0
2154,Federation University Australia,2006,RUN,19.0,2.0,21.0,True,Federation University Australia,,2749659,0.0,230664.0,2749659.0
3029,Flinders University,2006,IRU,103.0,17.0,120.0,False,Flinders University,,22176468,0.0,2964274.0,22176468.0
3032,Griffith University,2006,IRU,145.0,18.0,163.0,False,Griffith University,,24536474,0.0,2814994.0,24536474.0
