HEP Code,Higher Education Provider,Year,State/Territory,Cohort,Doctorate by Research,Masters by Research
3016,University of Technology Sydney,2021,NSW,ATN,359,26
3043,University of the Sunshine Coast,2021,QLD,RUN,60,8
1058,University of Wollongong,2021,NSW,non-aligned,256,33
3007,Victoria University,2021,VIC,non-aligned,104,9
3004,Western Sydney University,2021,NSW,IRU,198,89
3006,Australian Catholic University,2020,OTHER,non-aligned,45,8
2246,Batchelor Institute of Indigenous Tertiary Education,2020,NT,non-aligned,<5,<5
3003,Bond University ,2020,QLD,non-aligned,18,<5
2200,Central Queensland University,2020,QLD,RUN,31,12
3001,Charles Darwin University,2020,NT,non-aligned,39,5
3005,Charles Sturt University,2020,NSW,RUN,74,<5
2236,Curtin University,2020,WA,ATN,301,47
3030,Deakin University,2020,VIC,ATN,229,18
2235,Edith Cowan University,2020,WA,non-aligned,82,32
2154,Federation University Australia,2020,VIC,RUN,52,<5
3029,Flinders University,2020,SA,IRU,159,11
3032,Griffith University,2020,QLD,IRU,273,58
1019,James Cook University,2020,QLD,IRU,105,8
3020,La Trobe University,2020,VIC,IRU,172,17
3025,Macquarie University,2020,NSW,non-aligned,258,197
3035,Monash University,2020,VIC,Go8,770,73
1034,Murdoch University,2020,WA,IRU,94,15
3042,Queensland University of Technology,2020,QLD,non-aligned,333,97
3034,Royal Melbourne Institute of Technology,2020,VIC,ATN,334,21
3038,Southern Cross University,2020,NSW,RUN,34,5
2177,Swinburne University of Technology,2020,VIC,non-aligned,145,24
3033,The Australian National University,2020,ACT,Go8,309,32
3010,The University of Adelaide,2020,SA,Go8,345,75
3036,The University of Melbourne,2020,VIC,Go8,804,97
3044,The University of Notre Dame Australia,2020,WA,non-aligned,42,15
3019,The University of Queensland,2020,QLD,Go8,740,69
3040,The University of Sydney,2020,NSW,Go8,589,142
1055,The University of Western Australia,2020,WA,Go8,284,27
4449,Torrens University Australia,2020,SA,non-aligned,<5,0
2241,University of Canberra,2020,ACT,IRU,35,7
4331,University of Divinity,2020,VIC,non-aligned,5,<5
3039,University of New England,2020,NSW,RUN,86,16
3013,University of New South Wales,2020,NSW,Go8,546,116
3014,University of Newcastle,2020,NSW,ATN,281,16
3027,University of South Australia,2020,SA,ATN,129,26
2201,University of Southern Queensland,2020,QLD,RUN,103,11
3045,University of Tasmania,2020,TAS,non-aligned,226,12
3016,University of Technology Sydney,2020,NSW,ATN,306,25
3043,University of the Sunshine Coast,2020,QLD,RUN,46,7
1058,University of Wollongong,2020,NSW,non-aligned,213,32
3007,Victoria University,2020,VIC,non-aligned,104,17
3004,Western Sydney University,2020,NSW,IRU,132,93
3006,Australian Catholic University,2019,OTHER,non-aligned,53,7
2246,Batchelor Institute of Indigenous Tertiary Education,2019,NT,non-aligned,<5,0
3003,Bond University ,2019,QLD,non-aligned,22,<5
2200,Central Queensland University,2019,QLD,RUN,37,11
3001,Charles Darwin University,2019,NT,non-aligned,40,8
3005,Charles Sturt University,2019,NSW,RUN,69,<5
2236,Curtin University,2019,WA,ATN,282,43
3030,Deakin University,2019,VIC,ATN,243,22
2235,Edith Cowan University,2019,WA,non-aligned,70,38
2154,Federation University Australia,2019,VIC,RUN,32,8
3029,Flinders University,2019,SA,IRU,170,11
3032,Griffith University,2019,QLD,IRU,299,58
