HEP_Code,Institution,Cohort,Year,is_go8,is_covid_year,growth_hdr_completions_pct,growth_rbg_total_pct,growth_rbg_rtp_pct,growth_rbg_rsp_pct
3003,Bond University ,non-aligned,2017,0,0,-26.236426446749086,-0.8589329938331502,1443.1107463824085,2.132289868296411
3003,Bond University ,non-aligned,2018,0,0,-10.536051565782634,-0.6317815452463904,2.2563325053795324,-3.4259368012930835
3003,Bond University ,non-aligned,2019,0,0,-11.778303565638337,-2.8242909682184347,-0.5607891363549555,-5.129312834390198
3003,Bond University ,non-aligned,2020,0,0,-18.23215567939549,-1.7035927266311646,-0.15279337274201055,-3.345325802045629
3003,Bond University ,non-aligned,2021,0,1,50.07752879124894,20.864636148759708,-1.7727576437925663,40.57824977035018
3003,Bond University ,non-aligned,2022,0,0,-3.0771658666753687,-59.38227821986448,-17.839396195910773,-104.43750901556666
3003,Bond University ,non-aligned,2023,0,0,-42.12134650763035,11.72213006331102,18.81946334222402,-1.4200072146429932
3003,Bond University ,non-aligned,2024,0,0,73.9667196194838,16.22832050004721,18.54979920217641,11.293995223086029
3004,Western Sydney University,IRU,2016,0,0,1.3245226750020933,4.307586365857219,0.0,6.084023797762939
3004,Western Sydney University,IRU,2017,0,0,39.22198813581437,0.478700264378773,1617.949192791351,2.1322833345312375
3004,Western Sydney University,IRU,2018,0,0,-4.546237407675768,0.5100188468240674,2.1635650852537935,-1.842455454372427
3004,Western Sydney University,IRU,2019,0,0,8.040042543803771,4.384459602417934,2.4474393960559837,7.130898011233988
3004,Western Sydney University,IRU,2020,0,0,-3.493805136128003,3.85516678301272,5.339282158393033,1.7624849047049196
3004,Western Sydney University,IRU,2021,0,1,24.338181355520128,41.11296169188918,5.963051471764302,76.5609253343273
3004,Western Sydney University,IRU,2022,0,0,-39.16240566962932,-29.771192355114806,12.668092981082069,-76.70951614340015
3004,Western Sydney University,IRU,2023,0,0,35.61593471240103,8.460677503436287,11.927799582450405,2.1553850740144043
3004,Western Sydney University,IRU,2024,0,0,-13.095606284679029,6.496397560843548,3.406758929429188,12.144471194955209
3005,Charles Sturt University,RUN,2016,0,0,3.7740327982847433,4.907403990359072,0.0,5.541723662672382
3005,Charles Sturt University,RUN,2017,0,0,-16.034265007517945,1.8391125007248377,1563.4914376678869,2.1322790304644457
3005,Charles Sturt University,RUN,2018,0,0,-15.234072458201897,0.8578755555838313,3.3578681482714146,-3.4259408445072026
3005,Charles Sturt University,RUN,2019,0,0,-10.676797542570604,-2.0449020053316502,-0.34605403611607244,-5.129326513382537
3005,Charles Sturt University,RUN,2020,0,0,6.80534632450156,-1.97520656571335,-1.246110356312613,-3.3453283334557327
3005,Charles Sturt University,RUN,2021,0,1,-27.029032973991196,24.6092091154555,-4.557125678986296,63.8418146213958
3005,Charles Sturt University,RUN,2022,0,0,8.269171584511348,-61.102881742321635,-28.972064288362986,-106.21919274864489
3005,Charles Sturt University,RUN,2023,0,0,0.0,7.160595217090027,3.3515290329232172,14.628828142203965
3005,Charles Sturt University,RUN,2024,0,0,1.5748356968138921,12.268604358465574,5.381809221867151,23.900007305726767
3006,Australian Catholic University,non-aligned,2016,0,0,30.318625898774563,20.023504042229234,0.0,38.78064993436148
3006,Australian Catholic University,non-aligned,2017,0,0,-34.574587340654176,2.1132513909394746,1507.9727394044376,2.1322725677967114
3006,Australian Catholic University,non-aligned,2018,0,0,55.33852381847861,1.5549428453576652,6.30361336274099,-3.42594453869971
3006,Australian Catholic University,non-aligned,2019,0,0,-28.76820724517808,-1.1880460729152276,2.2612337948585193,-5.1293186792568335
3006,Australian Catholic University,non-aligned,2020,0,0,-12.405264866997845,-0.42337952524142963,1.9763450557363171,-3.3453463356210023
3006,Australian Catholic University,non-aligned,2021,0,1,-25.6719846847814,22.873223824328548,0.885316513041623,44.93316210456726
3006,Australian Catholic University,non-aligned,2022,0,0,-7.598590697792229,-66.24282509606641,-24.040888623069634,-121.17135577082472
3006,Australian Catholic University,non-aligned,2023,0,0,7.598590697792229,-5.186205286463519,-8.164234736420717,0.8655390322225287
3006,Australian Catholic University,non-aligned,2024,0,0,2.409755157906046,0.04663115256544614,-6.313817682783096,11.353920991735578
3007,Victoria University,non-aligned,2016,0,0,4.049136135473663,1.0365643594202112,0.0,4.6670192061474935
3007,Victoria University,non-aligned,2017,0,0,-4.049136135473663,2.482997305446233,1580.4822502418692,2.1322918575082284
3007,Victoria University,non-aligned,2018,0,0,-16.106155736710548,0.17157302247277073,2.2731925944093234,-3.4259337261698164
3007,Victoria University,non-aligned,2019,0,0,3.809984623226992,-1.86366762378114,-0.05594867420324334,-5.129340594737286
3007,Victoria University,non-aligned,2020,0,0,12.296171113483556,-0.965770451743353,0.2952661669530343,-3.3453361134895943
3007,Victoria University,non-aligned,2021,0,1,-6.840272688440052,25.376179145956712,-1.4933456390030742,62.725138601924435
3007,Victoria University,non-aligned,2022,0,0,-11.226730187108114,-43.05184302937235,-12.706130925158376,-87.440485733417
3007,Victoria University,non-aligned,2023,0,0,-17.2469260350943,8.224825151447135,1.9964163898961829,20.349780740671797
3007,Victoria University,non-aligned,2024,0,0,1.1696039763190669,10.681982314308414,-2.0609805158640526,29.957654324215177
3010,The University of Adelaide,Go8,2016,1,0,0.992563979996941,1.961706659931295,0.0,3.049399892857352
3010,The University of Adelaide,Go8,2017,1,0,2.4391453124159135,2.1177897259018863,1765.6450473205314,2.132281436601957
3010,The University of Adelaide,Go8,2018,1,0,-3.681397312271617,-1.2870731424655446,0.6313801091323512,-3.4259373544031746
3010,The University of Adelaide,Go8,2019,1,0,0.4987541511039417,-3.110158017928555,-1.3684935884683114,-5.129329055427334
3010,The University of Adelaide,Go8,2020,1,0,4.380262265839274,1.0976334940281163,0.9755895825946936,1.2416179133694527
3010,The University of Adelaide,Go8,2021,1,1,-11.066556788751925,39.99721838775727,0.36310709267901586,72.60594995979304
3010,The University of Adelaide,Go8,2022,1,0,15.491026968527688,-39.231443155886225,-1.462620377251156,-69.68621318533543
3010,The University of Adelaide,Go8,2023,1,0,-12.86620436103405,12.310936280791651,8.355057377149322,16.607142011599407
3010,The University of Adelaide,Go8,2024,1,0,-11.229295243347082,4.451207719275985,5.8964699162210366,2.9224729772291624
3013,University of New South Wales,Go8,2016,1,0,-8.077504018521164,1.0865986989681886,0.0,1.3766415486195172
3013,University of New South Wales,Go8,2017,1,0,15.686807280375792,2.989924118762133,1832.2142315957574,6.641348354143162
3013,University of New South Wales,Go8,2018,1,0,3.0730541091040564,0.21480825673165782,-1.0586731718063902,1.6659554192354875
3013,University of New South Wales,Go8,2019,1,0,9.051400754083172,1.2159264843500495,-1.1197454194288525,3.7779195364883833
3013,University of New South Wales,Go8,2020,1,0,-22.85668848842004,3.654937280362347,2.6957048114795157,4.6715747004363095
3013,University of New South Wales,Go8,2021,1,1,15.7597473416339,47.593975132890876,3.2495943340709488,79.50340365137016
3013,University of New South Wales,Go8,2022,1,0,1.5365219064055857,-39.14422854415669,2.4230119108185733,-68.21988322876287
3013,University of New South Wales,Go8,2023,1,0,1.7632698650956513,1.2565542124630014,1.4198916288933106,1.0942324197515063
3013,University of New South Wales,Go8,2024,1,0,-4.076997756271528,4.208690217367206,7.18021308126815,1.1604563483999186
3014,University of Newcastle,ATN,2016,0,0,-1.6461277054072632,0.5629085730575412,0.0,-2.102717620967809
3014,University of Newcastle,ATN,2017,0,0,2.8631812674327684,7.264683001025318,1696.7684157240449,12.80911408595351
3014,University of Newcastle,ATN,2018,0,0,7.006756261671665,3.9735465492508837,2.927608363219747,5.122754828957454
3014,University of Newcastle,ATN,2019,0,0,-5.4067221270275745,1.7285966952020004,1.2678345846875771,2.226930651289649
3014,University of Newcastle,ATN,2020,0,0,16.430305129127643,2.7138322047065344,3.2497767355415874,2.13373021534089
3014,University of Newcastle,ATN,2021,0,1,15.27066362550249,42.855020216040174,2.532059926398489,73.69112432860412
3014,University of Newcastle,ATN,2022,0,0,-15.60793207336646,-37.02386878422992,6.3661870132541765,-71.30886938257035
3014,University of Newcastle,ATN,2023,0,0,-22.22993131889286,6.982998447394095,10.742721948314582,2.42995733970659
3014,University of Newcastle,ATN,2024,0,0,-2.5642430613338263,0.6021292519683641,1.5637947761295123,-0.6252676401459212
3016,University of Technology Sydney,ATN,2016,0,0,-5.661889399950759,3.6508495259027995,0.0,4.490723871451507
3016,University of Technology Sydney,ATN,2017,0,0,16.92920565036209,4.697638295409234,1663.0262115395549,8.678531313648108
3016,University of Technology Sydney,ATN,2018,0,0,15.882358552665021,4.249772367125715,2.3223549064788074,6.945990675400537
3016,University of Technology Sydney,ATN,2019,0,0,10.290996305742794,3.5582463751602234,1.7641172013519224,5.959754090897462
3016,University of Technology Sydney,ATN,2020,0,0,4.321660149978257,7.42484188148147,6.768744264477888,8.278362479620682
3016,University of Technology Sydney,ATN,2021,0,1,15.112495891072175,49.59308953354551,8.21672767072954,85.88281005196912
3016,University of Technology Sydney,ATN,2022,0,0,-9.531017980432566,-24.149237746569696,25.162057381180247,-71.71375137669855
3016,University of Technology Sydney,ATN,2023,0,0,3.9220713153281572,4.307939679880235,9.42565251489249,-4.264674339239605
3016,University of Technology Sydney,ATN,2024,0,0,3.509131981127034,5.760334044536108,5.070305360880667,6.986517326330599
3019,The University of Queensland,Go8,2016,1,0,9.433741708170196,3.1928265474725492,0.0,2.9546712328265556
3019,The University of Queensland,Go8,2017,1,0,-7.710703719449352,4.402335256237322,1836.5514527897376,5.915875109038993
3019,The University of Queensland,Go8,2018,1,0,-16.074266150941163,1.299989848991956,1.8878799776882005,0.6779017191210102
3019,The University of Queensland,Go8,2019,1,0,25.832001011493144,-2.5756844228016718,-0.6744539241399394,-4.640248995847074
3019,The University of Queensland,Go8,2020,1,0,-3.641178940871459,0.6596856512551597,0.15451984268999297,1.2162748356011832
3019,The University of Queensland,Go8,2021,1,1,-18.554057653534173,45.020420562961405,1.4113062862730175,77.76054197108913
3019,The University of Queensland,Go8,2022,1,0,13.222846084410644,-40.64256158481072,2.954418700529615,-73.36938629507408
3019,The University of Queensland,Go8,2023,1,0,3.836787742295922,-5.94923928468738,-5.483115316085474,-6.462470298017919
3019,The University of Queensland,Go8,2024,1,0,-3.967250904962416,0.6106779543696206,1.8545416913770651,-0.7838895790001743
3020,La Trobe University,IRU,2016,0,0,-1.4742281737203378,3.570418133656972,0.0,2.185328191573177
3020,La Trobe University,IRU,2017,0,0,8.989500411654738,7.481372326947877,1671.6283920012006,16.360127471019936
3020,La Trobe University,IRU,2018,0,0,5.715841383994924,5.207865424675973,1.058942347094316,10.51676519792153
3020,La Trobe University,IRU,2019,0,0,-1.7241806434506124,2.3371622969680317,-0.22494205255796373,5.377887440626239
3020,La Trobe University,IRU,2020,0,0,-19.6332293863553,3.1976496720325542,3.1737817299379856,3.2251870232965274
3020,La Trobe University,IRU,2021,0,1,15.641568645810988,41.79254933265497,2.8259972798512223,73.43661024080141
3020,La Trobe University,IRU,2022,0,0,24.019196781599295,-44.384257661115,-5.3844907963942035,-76.06664361728903
3020,La Trobe University,IRU,2023,0,0,-14.941694317705867,-3.270014916400399,-2.6848118544734234,-3.949780975898065
3020,La Trobe University,IRU,2024,0,0,-5.085841723349116,12.005948465206373,16.685856004541577,6.242338921784452
3025,Macquarie University,non-aligned,2016,0,0,-9.733583883594132,9.72298712629609,0.0,13.800870798766951
3025,Macquarie University,non-aligned,2017,0,0,6.824910053410704,4.991619699314853,1708.0627701453143,2.13228484665251
3025,Macquarie University,non-aligned,2018,0,0,-3.5339366445309217,5.447625934021616,6.288515690016894,4.0002506863327625
3025,Macquarie University,non-aligned,2019,0,0,0.8952611272113664,0.8204274213685636,2.063972766586275,-1.3822582954457374
3025,Macquarie University,non-aligned,2020,0,0,-20.94234865717457,2.614793850307251,3.9841001029714107,0.09879963340466702
3025,Macquarie University,non-aligned,2021,0,1,14.879886475531112,37.050714716971456,3.413785508794831,79.91340931563755
3025,Macquarie University,non-aligned,2022,0,0,-9.322901360050029,-32.90934227858955,-1.0934372940951675,-72.44711556167012
3025,Macquarie University,non-aligned,2023,0,0,6.829963055797528,2.4571813187129976,3.2922086022995956,0.953758659849413
3025,Macquarie University,non-aligned,2024,0,0,-7.038079676179976,5.990844697961606,4.051514094468089,9.429745973897141
3027,University of South Australia,ATN,2016,0,0,2.912827292302378,5.387148014514764,0.0,11.267519655693903
3027,University of South Australia,ATN,2017,0,0,0.47732787526575393,2.7751200865939296,1680.3559993958015,7.646910325259526
3027,University of South Australia,ATN,2018,0,0,-27.820332849723695,-1.7647485639361804,-0.45781217399394336,-3.4259347366017323
3027,University of South Australia,ATN,2019,0,0,-14.892327639210645,1.5875887124941812,-0.6217368268089274,4.367503727148048
3027,University of South Australia,ATN,2020,0,0,12.34441910911217,2.4782080187627287,-0.05799837997386703,5.505412909162999
3027,University of South Australia,ATN,2021,0,1,9.82384395834135,38.77600593159407,-3.1955548380818044,72.27348019303577
3027,University of South Australia,ATN,2022,0,0,-9.180754925312318,-52.34268672536437,-18.09981503532292,-77.55872497536593
3027,University of South Australia,ATN,2023,0,0,10.34355872482422,3.98014354889753,6.6941828927600255,1.2211510935216552
3027,University of South Australia,ATN,2024,0,0,-5.342516667358055,2.0780598484684276,2.043930224192181,2.113704908447289
3029,Flinders University,IRU,2016,0,0,23.674920336998806,-0.2385724133418421,0.0,0.47691177737334556
3029,Flinders University,IRU,2017,0,0,-36.054342071665246,1.2144930851757607,1656.300202481933,3.971451212021293
3029,Flinders University,IRU,2018,0,0,34.96737484797494,-0.5707443383272448,0.034858028537954056,-1.337805618424781
3029,Flinders University,IRU,2019,0,0,-1.0989121575595284,-3.839549907396389,-2.839732132331463,-5.1293281486664455
3029,Flinders University,IRU,2020,0,0,-6.269859421556401,-1.6874454932064964,-0.4352497296718383,-3.3453383462692443
3029,Flinders University,IRU,2021,0,1,0.5865119452398204,37.68356340984376,1.5113820519214727,71.88313069118699
3029,Flinders University,IRU,2022,0,0,-25.88616339162897,-35.20580090811798,-0.7789116487735726,-67.10768359883517
3029,Flinders University,IRU,2023,0,0,8.004270767353638,13.285224105150562,10.197744444444012,17.132758350923183
3029,Flinders University,IRU,2024,0,0,14.91431580966367,23.306038325197775,15.691470191927692,31.76367726962077
3030,Deakin University,ATN,2016,0,0,8.004270767353638,8.106316758837906,0.0,8.186072709509773
3030,Deakin University,ATN,2017,0,0,-20.23000237248409,4.0709880721056635,1676.094693430159,2.1322817950380824
3030,Deakin University,ATN,2018,0,0,-6.483751949530792,3.2080231066931475,3.000624734425017,3.5563972751752715
3030,Deakin University,ATN,2019,0,0,23.73955740214111,4.617971224443096,0.7765954755839743,10.739301960602887
3030,Deakin University,ATN,2020,0,0,-7.034148935824458,4.168308550607236,1.1973443756069457,8.511051866076258
