HEP_Code,Institution,Cohort,Year,hdr_completions,total_completions,rbg_total,rbg_rtp,rbg_rsp,is_go8,Go8_Label,rbg_per_hdr_completion,is_covid_year
3020,La Trobe University,IRU,2018,234.0,9087.0,33442256,18381832.0,15060424.0,0,Rest of sector,142915.62393162394,0
3025,Macquarie University,non-aligned,2018,556.0,10066.0,43897312,27882585.0,16014727.0,0,Rest of sector,78952.0,0
3035,Monash University,Go8,2018,882.0,21862.0,170346130,87173023.0,83173107.0,1,Go8,193136.20181405896,0
1034,Murdoch University,IRU,2018,115.0,4852.0,17819166,9848575.0,7970591.0,0,Rest of sector,154949.2695652174,0
3042,Queensland University of Technology,non-aligned,2018,437.0,11588.0,53587469,30990812.0,22596657.0,0,Rest of sector,122625.7871853547,0
3034,Royal Melbourne Institute of Technology,ATN,2018,296.0,18737.0,34204805,21264947.0,12939858.0,0,Rest of sector,115556.77364864865,0
3038,Southern Cross University,RUN,2018,46.0,3078.0,7517808,4356094.0,3161714.0,0,Rest of sector,163430.60869565216,0
2177,Swinburne University of Technology,non-aligned,2018,185.0,7465.0,18053570,11474972.0,6578598.0,0,Rest of sector,97586.86486486487,0
3033,The Australian National University,Go8,2018,393.0,7534.0,120240294,57139186.0,63101108.0,1,Go8,305954.9465648855,0
3010,The University of Adelaide,Go8,2018,400.0,7009.0,88054687,46864184.0,41190503.0,1,Go8,220136.7175,0
3036,The University of Melbourne,Go8,2018,1021.0,21388.0,197305438,98127748.0,99177690.0,1,Go8,193247.2458374143,0
3044,The University of Notre Dame Australia,non-aligned,2018,60.0,3075.0,1550538,829351.0,721187.0,0,Rest of sector,25842.3,0
3019,The University of Queensland,Go8,2018,648.0,12982.0,187021523,96436308.0,90585215.0,1,Go8,288613.4614197531,0
3040,The University of Sydney,Go8,2018,403.0,16549.0,185555796,97508015.0,88047781.0,1,Go8,460436.2183622829,0
1055,The University of Western Australia,Go8,2018,338.0,6814.0,94471933,48456942.0,46014991.0,1,Go8,279502.7603550296,0
4449,Torrens University Australia,non-aligned,2018,4.0,2826.0,110830,45776.0,65054.0,0,Rest of sector,27707.5,0
2241,University of Canberra,IRU,2018,74.0,3610.0,9148003,5140501.0,4007502.0,0,Rest of sector,123621.66216216216,0
4331,University of Divinity,non-aligned,2018,11.0,532.0,1575419,909458.0,665961.0,0,Rest of sector,143219.9090909091,0
3039,University of New England,RUN,2018,86.0,3630.0,16344368,9072274.0,7272094.0,0,Rest of sector,190050.7906976744,0
3013,University of New South Wales,Go8,2018,760.0,15244.0,169425334,89661819.0,79763515.0,1,Go8,222928.07105263157,0
3014,University of Newcastle,ATN,2018,266.0,6467.0,46241121,24081639.0,22159482.0,0,Rest of sector,173838.8007518797,0
3027,University of South Australia,ATN,2018,159.0,7180.0,35070473,19756278.0,15314195.0,0,Rest of sector,220569.01257861636,0
